row_count,strategy,table,wall_ms_mean,wall_ms_median,wall_ms_min,wall_ms_max,wall_ms_stdev,rows_per_second_median,speedup_vs_row_commit_each,speedup_vs_repository,wal_bytes_median,heap_bytes_median,index_bytes_median,toast_and_auxiliary_bytes_median,total_relation_bytes_median,io_writes_median,io_write_ms_median,io_extends_median,io_extend_ms_median,io_fsyncs_median,io_fsync_ms_median,sql_statement_count_median,executemany_call_count_median,commit_count_median,all_valid
100,row_commit_each,passages,230.738,231.577,166.481,274.502,32.94,431.919,1.0,2.115,448080.0,98304.0,49152.0,368640.0,516096.0,69.0,0.3,63.0,0.816,12.0,1.156,100.0,0.0,100.0,True
100,row_add_one_transaction,passages,111.306,111.62,83.006,126.569,12.672,896.756,2.075,4.388,441544.0,98304.0,49152.0,368640.0,516096.0,69.0,0.333,63.0,0.721,12.0,1.167,1.0,1.0,1.0,True
100,orm_add_all,passages,113.755,119.146,82.712,126.035,13.624,839.793,1.944,4.111,443796.0,98304.0,49152.0,368640.0,516096.0,69.0,0.33,63.0,0.712,12.0,1.175,1.0,1.0,1.0,True
100,core_executemany,passages,106.605,111.818,93.906,113.643,7.567,894.316,2.071,4.38,444680.0,98304.0,49152.0,368640.0,516096.0,69.0,0.322,63.0,0.704,12.0,1.167,1.0,1.0,1.0,True
100,core_upsert_batched,passages,112.709,111.615,95.015,151.773,15.54,896.012,2.075,4.388,448392.0,98304.0,49152.0,368640.0,516096.0,69.0,0.329,63.0,0.736,12.0,1.125,1.0,1.0,1.0,True
100,copy_records,passages,103.016,105.311,93.651,110.189,6.58,949.573,2.199,4.651,439024.0,98304.0,49152.0,368640.0,516096.0,69.0,0.365,63.0,0.291,12.0,1.232,1.0,0.0,1.0,True
100,repository_save_passages,passages,396.029,489.796,168.481,518.045,156.147,204.171,0.473,1.0,442680.0,98304.0,49152.0,368640.0,516096.0,69.0,0.421,63.0,1.799,12.0,1.469,200.0,0.0,1.0,True
100,vector_executemany,passages_vector,84.421,84.712,58.772,94.381,10.934,1180.479,2.734,5.782,467168.0,98304.0,49152.0,466944.0,614400.0,79.0,0.371,75.0,0.981,12.0,1.197,1.0,1.0,1.0,True
100,core_upsert_batched_reingest,passages,111.05,115.159,100.463,121.442,8.49,868.378,2.011,5.411,876776.0,90112.0,16384.0,303104.0,409600.0,109.0,0.466,50.0,0.598,9.0,1.753,1.0,1.0,1.0,True
100,repository_save_passages_reingest,passages,568.666,623.078,337.662,654.324,119.907,160.59,0.372,1.0,871160.0,90112.0,16384.0,303104.0,409600.0,109.0,0.675,50.0,1.817,9.0,1.64,200.0,0.0,1.0,True
