min_gain,actual_positives,quality_threshold,table_policy,fast_rate,tp,fp,fn,tn,precision,recall,f1,f2,positive_rate
0.0,104,40.0,all_tables,0.461538,60,59,44,58,0.504202,0.576923,0.538117,0.560748,0.538462
0.0,104,42.0,all_tables,0.461538,60,59,44,58,0.504202,0.576923,0.538117,0.560748,0.538462
0.0,104,44.0,all_tables,0.457014,61,59,43,58,0.508333,0.586538,0.544643,0.56903,0.542986
0.0,104,46.0,all_tables,0.457014,61,59,43,58,0.508333,0.586538,0.544643,0.56903,0.542986
0.0,104,48.0,all_tables,0.457014,61,59,43,58,0.508333,0.586538,0.544643,0.56903,0.542986
0.0,104,50.0,all_tables,0.452489,61,60,43,57,0.504132,0.586538,0.542222,0.56797,0.547511
0.0,104,52.0,all_tables,0.447964,61,61,43,56,0.5,0.586538,0.539823,0.566914,0.552036
0.0,104,54.0,all_tables,0.438914,61,63,43,54,0.491935,0.586538,0.535088,0.564815,0.561086
0.0,104,56.0,all_tables,0.438914,61,63,43,54,0.491935,0.586538,0.535088,0.564815,0.561086
0.0,104,58.0,all_tables,0.438914,61,63,43,54,0.491935,0.586538,0.535088,0.564815,0.561086
0.0,104,60.0,all_tables,0.438914,61,63,43,54,0.491935,0.586538,0.535088,0.564815,0.561086
0.0,104,62.0,all_tables,0.438914,61,63,43,54,0.491935,0.586538,0.535088,0.564815,0.561086
0.0,104,64.0,all_tables,0.429864,62,64,42,53,0.492063,0.596154,0.53913,0.571956,0.570136
0.0,104,66.0,all_tables,0.411765,63,67,41,50,0.484615,0.605769,0.538462,0.576923,0.588235
0.0,104,68.0,all_tables,0.411765,63,67,41,50,0.484615,0.605769,0.538462,0.576923,0.588235
0.0,104,70.0,all_tables,0.411765,63,67,41,50,0.484615,0.605769,0.538462,0.576923,0.588235
0.0,104,72.0,all_tables,0.411765,63,67,41,50,0.484615,0.605769,0.538462,0.576923,0.588235
0.0,104,74.0,all_tables,0.39819,64,69,40,48,0.481203,0.615385,0.540084,0.582878,0.60181
0.0,104,76.0,all_tables,0.393665,64,70,40,47,0.477612,0.615385,0.537815,0.581818,0.606335
0.0,104,78.0,all_tables,0.38009,65,72,39,45,0.474453,0.625,0.539419,0.587703,0.61991
