policy,ortogonal_cizgi,dolu_dikdortgen,izgara_sutun,izgara_satir,tp,fp,fn,tn,precision,recall,f1,f2,positive_rate
inspector_or_v2,2,4,2,2,66,90,1,64,0.423077,0.985075,0.591928,0.778302,0.705882
inspector_and_v2,2,4,2,2,60,17,7,137,0.779221,0.895522,0.833333,0.869565,0.348416
inspector_or_v2,2,4,2,3,66,88,1,66,0.428571,0.985075,0.597285,0.781991,0.696833
inspector_and_v2,2,4,2,3,60,16,7,138,0.789474,0.895522,0.839161,0.872093,0.343891
inspector_or_v2,2,4,2,4,66,87,1,67,0.431373,0.985075,0.6,0.783848,0.692308
inspector_and_v2,2,4,2,4,59,16,8,138,0.786667,0.880597,0.830986,0.860058,0.339367
inspector_or_v2,2,4,2,5,66,87,1,67,0.431373,0.985075,0.6,0.783848,0.692308
inspector_and_v2,2,4,2,5,59,16,8,138,0.786667,0.880597,0.830986,0.860058,0.339367
inspector_or_v2,2,4,2,6,66,87,1,67,0.431373,0.985075,0.6,0.783848,0.692308
inspector_and_v2,2,4,2,6,58,16,9,138,0.783784,0.865672,0.822695,0.847953,0.334842
inspector_or_v2,2,4,3,2,66,90,1,64,0.423077,0.985075,0.591928,0.778302,0.705882
inspector_and_v2,2,4,3,2,60,17,7,137,0.779221,0.895522,0.833333,0.869565,0.348416
inspector_or_v2,2,4,3,3,66,88,1,66,0.428571,0.985075,0.597285,0.781991,0.696833
inspector_and_v2,2,4,3,3,60,16,7,138,0.789474,0.895522,0.839161,0.872093,0.343891
inspector_or_v2,2,4,3,4,66,87,1,67,0.431373,0.985075,0.6,0.783848,0.692308
inspector_and_v2,2,4,3,4,59,16,8,138,0.786667,0.880597,0.830986,0.860058,0.339367
inspector_or_v2,2,4,3,5,66,87,1,67,0.431373,0.985075,0.6,0.783848,0.692308
inspector_and_v2,2,4,3,5,59,16,8,138,0.786667,0.880597,0.830986,0.860058,0.339367
inspector_or_v2,2,4,3,6,66,87,1,67,0.431373,0.985075,0.6,0.783848,0.692308
inspector_and_v2,2,4,3,6,58,16,9,138,0.783784,0.865672,0.822695,0.847953,0.334842
inspector_or_v2,2,4,4,2,66,90,1,64,0.423077,0.985075,0.591928,0.778302,0.705882
inspector_and_v2,2,4,4,2,60,17,7,137,0.779221,0.895522,0.833333,0.869565,0.348416
inspector_or_v2,2,4,4,3,66,88,1,66,0.428571,0.985075,0.597285,0.781991,0.696833
inspector_and_v2,2,4,4,3,60,16,7,138,0.789474,0.895522,0.839161,0.872093,0.343891
inspector_or_v2,2,4,4,4,66,87,1,67,0.431373,0.985075,0.6,0.783848,0.692308
inspector_and_v2,2,4,4,4,59,16,8,138,0.786667,0.880597,0.830986,0.860058,0.339367
inspector_or_v2,2,4,4,5,66,87,1,67,0.431373,0.985075,0.6,0.783848,0.692308
inspector_and_v2,2,4,4,5,59,16,8,138,0.786667,0.880597,0.830986,0.860058,0.339367
inspector_or_v2,2,4,4,6,66,87,1,67,0.431373,0.985075,0.6,0.783848,0.692308
inspector_and_v2,2,4,4,6,58,16,9,138,0.783784,0.865672,0.822695,0.847953,0.334842
inspector_or_v2,2,6,2,2,66,86,1,68,0.434211,0.985075,0.60274,0.785714,0.687783
inspector_and_v2,2,6,2,2,60,17,7,137,0.779221,0.895522,0.833333,0.869565,0.348416
inspector_or_v2,2,6,2,3,66,84,1,70,0.44,0.985075,0.608295,0.789474,0.678733
inspector_and_v2,2,6,2,3,60,16,7,138,0.789474,0.895522,0.839161,0.872093,0.343891
inspector_or_v2,2,6,2,4,66,83,1,71,0.442953,0.985075,0.611111,0.791367,0.674208
inspector_and_v2,2,6,2,4,59,16,8,138,0.786667,0.880597,0.830986,0.860058,0.339367
inspector_or_v2,2,6,2,5,66,83,1,71,0.442953,0.985075,0.611111,0.791367,0.674208
inspector_and_v2,2,6,2,5,59,16,8,138,0.786667,0.880597,0.830986,0.860058,0.339367
inspector_or_v2,2,6,2,6,66,83,1,71,0.442953,0.985075,0.611111,0.791367,0.674208
inspector_and_v2,2,6,2,6,58,16,9,138,0.783784,0.865672,0.822695,0.847953,0.334842
inspector_or_v2,2,6,3,2,66,86,1,68,0.434211,0.985075,0.60274,0.785714,0.687783
inspector_and_v2,2,6,3,2,60,17,7,137,0.779221,0.895522,0.833333,0.869565,0.348416
inspector_or_v2,2,6,3,3,66,84,1,70,0.44,0.985075,0.608295,0.789474,0.678733
inspector_and_v2,2,6,3,3,60,16,7,138,0.789474,0.895522,0.839161,0.872093,0.343891
inspector_or_v2,2,6,3,4,66,83,1,71,0.442953,0.985075,0.611111,0.791367,0.674208
inspector_and_v2,2,6,3,4,59,16,8,138,0.786667,0.880597,0.830986,0.860058,0.339367
inspector_or_v2,2,6,3,5,66,83,1,71,0.442953,0.985075,0.611111,0.791367,0.674208
inspector_and_v2,2,6,3,5,59,16,8,138,0.786667,0.880597,0.830986,0.860058,0.339367
inspector_or_v2,2,6,3,6,66,83,1,71,0.442953,0.985075,0.611111,0.791367,0.674208
inspector_and_v2,2,6,3,6,58,16,9,138,0.783784,0.865672,0.822695,0.847953,0.334842
inspector_or_v2,2,6,4,2,66,86,1,68,0.434211,0.985075,0.60274,0.785714,0.687783
inspector_and_v2,2,6,4,2,60,17,7,137,0.779221,0.895522,0.833333,0.869565,0.348416
inspector_or_v2,2,6,4,3,66,84,1,70,0.44,0.985075,0.608295,0.789474,0.678733
inspector_and_v2,2,6,4,3,60,16,7,138,0.789474,0.895522,0.839161,0.872093,0.343891
inspector_or_v2,2,6,4,4,66,83,1,71,0.442953,0.985075,0.611111,0.791367,0.674208
inspector_and_v2,2,6,4,4,59,16,8,138,0.786667,0.880597,0.830986,0.860058,0.339367
inspector_or_v2,2,6,4,5,66,83,1,71,0.442953,0.985075,0.611111,0.791367,0.674208
inspector_and_v2,2,6,4,5,59,16,8,138,0.786667,0.880597,0.830986,0.860058,0.339367
inspector_or_v2,2,6,4,6,66,83,1,71,0.442953,0.985075,0.611111,0.791367,0.674208
inspector_and_v2,2,6,4,6,58,16,9,138,0.783784,0.865672,0.822695,0.847953,0.334842
inspector_or_v2,2,8,2,2,66,85,1,69,0.437086,0.985075,0.605505,0.787589,0.683258
inspector_and_v2,2,8,2,2,60,17,7,137,0.779221,0.895522,0.833333,0.869565,0.348416
inspector_or_v2,2,8,2,3,66,82,1,72,0.445946,0.985075,0.613953,0.793269,0.669683
inspector_and_v2,2,8,2,3,60,16,7,138,0.789474,0.895522,0.839161,0.872093,0.343891
inspector_or_v2,2,8,2,4,66,81,1,73,0.44898,0.985075,0.616822,0.795181,0.665158
inspector_and_v2,2,8,2,4,59,16,8,138,0.786667,0.880597,0.830986,0.860058,0.339367
inspector_or_v2,2,8,2,5,66,81,1,73,0.44898,0.985075,0.616822,0.795181,0.665158
inspector_and_v2,2,8,2,5,59,16,8,138,0.786667,0.880597,0.830986,0.860058,0.339367
inspector_or_v2,2,8,2,6,66,81,1,73,0.44898,0.985075,0.616822,0.795181,0.665158
inspector_and_v2,2,8,2,6,58,16,9,138,0.783784,0.865672,0.822695,0.847953,0.334842
inspector_or_v2,2,8,3,2,66,85,1,69,0.437086,0.985075,0.605505,0.787589,0.683258
inspector_and_v2,2,8,3,2,60,17,7,137,0.779221,0.895522,0.833333,0.869565,0.348416
inspector_or_v2,2,8,3,3,66,82,1,72,0.445946,0.985075,0.613953,0.793269,0.669683
inspector_and_v2,2,8,3,3,60,16,7,138,0.789474,0.895522,0.839161,0.872093,0.343891
inspector_or_v2,2,8,3,4,66,81,1,73,0.44898,0.985075,0.616822,0.795181,0.665158
inspector_and_v2,2,8,3,4,59,16,8,138,0.786667,0.880597,0.830986,0.860058,0.339367
inspector_or_v2,2,8,3,5,66,81,1,73,0.44898,0.985075,0.616822,0.795181,0.665158
inspector_and_v2,2,8,3,5,59,16,8,138,0.786667,0.880597,0.830986,0.860058,0.339367
inspector_or_v2,2,8,3,6,66,81,1,73,0.44898,0.985075,0.616822,0.795181,0.665158
inspector_and_v2,2,8,3,6,58,16,9,138,0.783784,0.865672,0.822695,0.847953,0.334842
inspector_or_v2,2,8,4,2,66,85,1,69,0.437086,0.985075,0.605505,0.787589,0.683258
inspector_and_v2,2,8,4,2,60,17,7,137,0.779221,0.895522,0.833333,0.869565,0.348416
inspector_or_v2,2,8,4,3,66,82,1,72,0.445946,0.985075,0.613953,0.793269,0.669683
inspector_and_v2,2,8,4,3,60,16,7,138,0.789474,0.895522,0.839161,0.872093,0.343891
inspector_or_v2,2,8,4,4,66,81,1,73,0.44898,0.985075,0.616822,0.795181,0.665158
inspector_and_v2,2,8,4,4,59,16,8,138,0.786667,0.880597,0.830986,0.860058,0.339367
inspector_or_v2,2,8,4,5,66,81,1,73,0.44898,0.985075,0.616822,0.795181,0.665158
inspector_and_v2,2,8,4,5,59,16,8,138,0.786667,0.880597,0.830986,0.860058,0.339367
inspector_or_v2,2,8,4,6,66,81,1,73,0.44898,0.985075,0.616822,0.795181,0.665158
inspector_and_v2,2,8,4,6,58,16,9,138,0.783784,0.865672,0.822695,0.847953,0.334842
inspector_or_v2,2,10,2,2,66,85,1,69,0.437086,0.985075,0.605505,0.787589,0.683258
inspector_and_v2,2,10,2,2,60,17,7,137,0.779221,0.895522,0.833333,0.869565,0.348416
inspector_or_v2,2,10,2,3,66,81,1,73,0.44898,0.985075,0.616822,0.795181,0.665158
inspector_and_v2,2,10,2,3,60,16,7,138,0.789474,0.895522,0.839161,0.872093,0.343891
inspector_or_v2,2,10,2,4,66,80,1,74,0.452055,0.985075,0.619718,0.797101,0.660633
inspector_and_v2,2,10,2,4,59,16,8,138,0.786667,0.880597,0.830986,0.860058,0.339367
inspector_or_v2,2,10,2,5,66,80,1,74,0.452055,0.985075,0.619718,0.797101,0.660633
inspector_and_v2,2,10,2,5,59,16,8,138,0.786667,0.880597,0.830986,0.860058,0.339367
inspector_or_v2,2,10,2,6,66,80,1,74,0.452055,0.985075,0.619718,0.797101,0.660633
inspector_and_v2,2,10,2,6,57,16,10,138,0.780822,0.850746,0.814286,0.835777,0.330317
inspector_or_v2,2,10,3,2,66,85,1,69,0.437086,0.985075,0.605505,0.787589,0.683258
inspector_and_v2,2,10,3,2,60,17,7,137,0.779221,0.895522,0.833333,0.869565,0.348416
inspector_or_v2,2,10,3,3,66,81,1,73,0.44898,0.985075,0.616822,0.795181,0.665158
inspector_and_v2,2,10,3,3,60,16,7,138,0.789474,0.895522,0.839161,0.872093,0.343891
inspector_or_v2,2,10,3,4,66,80,1,74,0.452055,0.985075,0.619718,0.797101,0.660633
inspector_and_v2,2,10,3,4,59,16,8,138,0.786667,0.880597,0.830986,0.860058,0.339367
inspector_or_v2,2,10,3,5,66,80,1,74,0.452055,0.985075,0.619718,0.797101,0.660633
inspector_and_v2,2,10,3,5,59,16,8,138,0.786667,0.880597,0.830986,0.860058,0.339367
