dosya,parser,genel,nid,teds,aday_tablo,ref_tablo,mhs,kesinlik,duyarlilik,f1,aday_baslik,ref_baslik
vgg_tablo_agirlikli,pypdf_plain,0.3093,0.9278,0.0,0,12,0.0,0.0,0.0,0.0,0,34
vgg_tablo_agirlikli,inspector,0.505,0.9122,0.1544,9,12,0.4484,0.5714,0.2353,0.3333,14,34
vgg_tablo_agirlikli,opendataloader,0.4647,0.9345,0.0,0,12,0.4597,0.125,0.0294,0.0476,8,34
vgg_tablo_agirlikli,pymupdf4llm,0.6519,0.9102,0.279,10,12,0.7664,0.92,0.6765,0.7797,25,34
resnet_2sutun_gorsel,pypdf_plain,0.3182,0.8059,0.0,0,20,0.1487,0.0,0.0,0.0,3,18
resnet_2sutun_gorsel,inspector,0.5504,0.7922,0.0391,6,20,0.8198,0.7273,0.8889,0.8,23,18
resnet_2sutun_gorsel,opendataloader,0.6267,0.8104,0.2191,20,20,0.8505,0.6667,0.7778,0.7179,24,18
resnet_2sutun_gorsel,pymupdf4llm,0.7244,0.8048,0.5132,15,20,0.8551,0.7619,0.8889,0.8205,23,18
attention_tablo,pypdf_plain,0.2829,0.8488,0.0,0,4,0.0,0.0,0.0,0.0,0,32
attention_tablo,inspector,0.7358,0.8592,0.6017,4,4,0.7466,0.7429,0.8125,0.7761,38,32
attention_tablo,opendataloader,0.5537,0.8481,0.1066,2,4,0.7064,0.6471,0.6875,0.6667,37,32
attention_tablo,pymupdf4llm,0.8279,0.8433,0.7341,4,4,0.9063,1.0,0.7812,0.8772,25,32
bert_2sutun_dipnot,pypdf_plain,0.2854,0.8562,0.0,0,8,0.0,0.0,0.0,0.0,0,48
bert_2sutun_dipnot,inspector,0.6816,0.8538,0.4316,16,8,0.7593,0.75,0.6042,0.6692,42,48
bert_2sutun_dipnot,opendataloader,0.5216,0.8616,0.0,0,8,0.7033,0.8438,0.5417,0.6598,35,48
bert_2sutun_dipnot,pymupdf4llm,0.8476,0.8568,0.8552,9,8,0.8309,0.9714,0.6875,0.8052,35,48
gpt3_uzun_75sayfa,pypdf_plain,0.2789,0.8366,0.0,0,25,0.0,0.0,0.0,0.0,0,58
gpt3_uzun_75sayfa,inspector,0.6152,0.8185,0.3135,17,25,0.7134,0.6883,0.9138,0.7852,77,58
gpt3_uzun_75sayfa,opendataloader,0.5442,0.8192,0.0,0,25,0.8134,0.8689,0.9138,0.8908,61,58
gpt3_uzun_75sayfa,pymupdf4llm,0.7535,0.8335,0.6149,25,25,0.8121,0.8413,0.9138,0.876,63,58
gpt4_uzun_gorsel,pypdf_plain,0.3901,0.8602,0.0,0,23,0.3101,0.0,0.0,0.0,9,33
gpt4_uzun_gorsel,inspector,0.4047,0.7789,0.1122,14,23,0.3232,0.2477,0.8182,0.3803,142,33
gpt4_uzun_gorsel,opendataloader,0.3843,0.8456,0.0057,5,23,0.3015,0.2,0.7879,0.319,152,33
gpt4_uzun_gorsel,pymupdf4llm,0.3939,0.7452,0.1813,13,23,0.255,0.1733,0.7879,0.2842,188,33
