source_id,family,connector,title,url,persistent_id,literature_role,published_at,discovery_relevance,content_relevance,evidence_claims,reportable_claims
01KYSC6GQMKE394XRTKWXZ44B7,academic,arxiv,"Color Fundus Photography Analysis: Co-evolution of Data, Preprocessing, and Modeling toward Multimodal AI",https://arxiv.org/abs/2607.23972,arxiv:2607.23972v1,contextual,2026-07-27T03:46:11+00:00,0.6656,1.0,0,0
01KYSCAPJ14CG3HD330XBQX4K6,web,agentsearch_web,Evaluating Vision Language Model Adaptations for Radiology Report Generation in Low-Resource Languages,https://arxiv.org/html/2505.01096v1,,contextual,,0.65,1.0,0,0
01KYSCB3Z3PH0DHVY4T6QY3V96,web,agentsearch_web,Vision-language foundation models for medical imaging: a review of current practices and innovations | Biomedical Engineering Letters | Springer Nature Link,https://link.springer.com/article/10.1007/s13534-025-00484-6,,contextual,,0.65,1.0,24,19
01KYSB9GPWDZVR2BVG95W6WW9G,academic,crossref,Bridging images and language in radiology: A comprehensive PRISMA systematic review of transformer vision-language models and clinical readiness,https://doi.org/10.1080/24725579.2026.2674247,10.1080/24725579.2026.2674247,contextual,2026-05-28T00:00:00+00:00,0.75,1.0,0,0
01KYSBBC6MS0HV1XVXJPNEYWTJ,academic,arxiv,Dementia Etiology Diagnosis via Collaborative Meta Knowledge Enhancement,https://arxiv.org/abs/2607.22770,arxiv:2607.22770v1,contextual,2026-07-24T04:26:47+00:00,0.6664,1.0,0,0
01KYSB8BRTP6E4YAWKTF0F3XCN,academic,crossref,Multimodal Radiology Knowledge Graph Generation Using Vision Language Models (Preprint),https://doi.org/10.2196/preprints.91301,10.2196/preprints.91301,contextual,2026-01-12T00:00:00+00:00,0.75,1.0,0,0
01KYSB92602X756XKNGJJYRQ29,academic,crossref,Automated Fracture Image Captioning Using Multimodal Vision-Language Models: A Comprehensive Comparative Study on a Clinically Curated Dataset,https://www.researchsquare.com/article/rs-10331065/'https:/www.researchsquare.com/article/rs-10331065/v1,10.21203/rs.3.rs-10331065/v1,contextual,2026-07-14T00:00:00+00:00,0.75,1.0,0,0
01KYSBBNBC5HX4WB666NM7QR4A,academic,arxiv,"Foundation Models vs. Radiomics for Lung Computed Tomography: A Benchmark of Feature Extractors, Classification Heads, and Segmentation Choices",https://arxiv.org/abs/2607.01001,arxiv:2607.01001v1,contextual,2026-07-01T14:37:30+00:00,0.6659,1.0,0,0
01KYSBC23ABHTQ0NAHQ4R3W3P7,academic,arxiv,Predicting gestational age at birth in the context of preterm birth from multi-modal fetal MRI,https://arxiv.org/abs/2606.20172,arxiv:2606.20172v1,contextual,2026-06-18T12:39:40+00:00,0.6652,1.0,0,0
01KYSBFNSAY1BXAA7YSS07WDKM,academic,arxiv,Stabilizing Deep Reconstruction Operators with Contractive Anchoring,https://arxiv.org/abs/2607.23341,arxiv:2607.23341v1,contextual,2026-07-25T19:37:54+00:00,0.6645,1.0,0,0
01KYSBGQM1C5XKKW5E1HZNPPMB,academic,arxiv,How Seemingly Inconsequential Design Choices Dictate Performance of LLMs in Pathology,https://arxiv.org/abs/2606.12407,arxiv:2606.12407v1,contextual,2026-06-10T17:59:39+00:00,0.6643,1.0,0,0
01KYSBJHTAXCC3XM46X3TB923Q,academic,arxiv,MIRROR: Learning from the Other View for Multi-Modal Reasoning,https://arxiv.org/abs/2607.21552,arxiv:2607.21552v1,contextual,2026-07-23T17:35:56+00:00,0.6635,1.0,0,0
01KYSBD4NSQYW0QZCZ0E6G962B,academic,arxiv,DeepBias: Adaptive In-depth Probing of Social Biases in LVLMs,https://arxiv.org/abs/2607.11228,arxiv:2607.11228v1,contextual,2026-07-13T08:19:09+00:00,0.6652,1.0,0,0
01KYSBG18D0VG76VTRN8162X5P,academic,arxiv,Fusion is not one-size-fits-all: Cross-Modal Representation Alignment for Time-to-Event Modeling,https://arxiv.org/abs/2606.15038,arxiv:2606.15038v1,contextual,2026-06-13T00:44:59+00:00,0.6645,1.0,0,0
01KYSBHKAKMZJ33509WQS8FRR8,academic,arxiv,Medical Heuristic Learning: An LLM-Driven Framework for Interpretable and Auditable Clinical Decision Rules,https://arxiv.org/abs/2606.16337,arxiv:2606.16337v3,contextual,2026-06-15T07:43:06+00:00,0.6639,1.0,0,0
01KYSBKA4K6JW79FT8DQ0N5GNQ,academic,arxiv,Benchmarking Multimodal Large Language Models for Scientific Visualization Literacy,https://arxiv.org/abs/2607.15176,arxiv:2607.15176v2,contextual,2026-07-16T16:29:34+00:00,0.6633,1.0,0,0
01KYSBKYCS13HKB0X232H1GG3H,academic,arxiv,One-for-All Adaptive Radiotherapy Planning Agent: A Foundation Framework for Daily CBCT-guided Radiotherapy,https://arxiv.org/abs/2607.14870,arxiv:2607.14870v1,contextual,2026-07-16T11:44:33+00:00,0.6632,1.0,0,0
01KYSBN0NK9FHJP077SEMDEAGM,academic,arxiv,MonteRET: AI Agent Enhancing Multimodal LLMs with Multi-granularity Knowledge Retrieval for Chest CT Report Generation,https://arxiv.org/abs/2607.14264,arxiv:2607.14264v1,contextual,2026-07-15T18:17:13+00:00,0.6628,1.0,0,0
01KYSBMV4FARDCA944GAK1SMWE,academic,arxiv,BifDet: A 3D Bifurcation Detection Dataset for Airway-Tree Modeling,https://arxiv.org/abs/2604.24999,arxiv:2604.24999v1,contextual,2026-04-27T21:00:39+00:00,0.6628,0.9062,0,0
01KYSBQX5F5MD694GHCRA8HGS5,academic,arxiv,Groc-PO: Grounded Context Preference Optimization for Truthful Multimodal LLMs,https://arxiv.org/abs/2607.13712,arxiv:2607.13712v1,contextual,2026-07-15T11:28:27+00:00,0.6127,0.75,0,0
01KYSBSQ87HD59SZPHNTRRZDJ7,academic,arxiv,Physiology and Anatomy Aware Inverse Inference of Myocardial Infarction for Cardiac Digital Twin,https://arxiv.org/abs/2605.22044,arxiv:2605.22044v1,contextual,2026-05-21T06:32:21+00:00,0.4635,0.6125,0,0
01KYSBVHCNFZ9Q568D8ZY3DGD1,web,local_corpus,Concept-Enhanced Multimodal RAG: Towards Interpretable and Accurate Radiology Report Generation,https://arxiv.org/html/2602.15650,,contextual,,0.45,1.0,0,0
01KYSBVQDCC9Z4HB05VE9CCRZV,web,local_corpus,Vision-language foundation models for medical imaging: a review of current practices and innovations - PMC,https://pmc.ncbi.nlm.nih.gov/articles/PMC12411343,,contextual,,0.65,1.0,25,22
01KYSBW3H7Y0ZC2WJE7G46QN2T,web,local_corpus,Towards Responsible Multimodal Medical Reasoning via Context-Aligned Vision-Language Models,https://arxiv.org/html/2604.08815,,contextual,,0.45,1.0,4,3
01KYSB8QSHCG9Z51FXZMJ9AW4T,academic,crossref,Multimodal Fusion Architectures for Clinical Vision Language Models,https://doi.org/10.4018/979-8-3373-7315-7.ch003,10.4018/979-8-3373-7315-7.ch003,contextual,2026-06-30T00:00:00+00:00,0.75,1.0,0,0
01KYSC5VCTR93MHC8G8V3QZKVD,academic,arxiv,When No Answer Is Correct: Diagnosing Absent Answer Detection for MLLMs in Video Understanding,https://arxiv.org/abs/2606.08239,arxiv:2606.08239v1,contextual,2026-06-06T15:51:25+00:00,0.6654,1.0,0,0
01KYSC6A3AZZ6CMK1FNN1YGFVH,academic,arxiv,Mage-VL: An Efficient Codec-Native Streaming Multimodal Foundation Model,https://arxiv.org/abs/2607.24904,arxiv:2607.24904v1,contextual,2026-07-27T17:59:53+00:00,0.6659,1.0,0,0
